symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,ret_pct
WMT,2022-01-14,2022-01-24,48.86000000000001,46.26,55,-143.55000000000047,-5.321326238231694
V,2022-01-28,2022-02-24,226.81,203.35,11,-258.1700000000001,-10.343459283100398
AVGO,2022-03-18,2022-04-14,60.790000000000006,57.919999999999995,42,-120.96000000000049,-4.721171245270628
GOOGL,2022-03-24,2022-04-14,141.07000000000002,126.77000000000001,18,-257.5800000000002,-10.13681151201532
V,2022-03-28,2022-04-25,219.59,206.32999999999998,11,-145.97000000000023,-6.0385263445512205
WMT,2022-03-04,2022-05-06,47.35,50.089999999999996,54,147.41999999999973,5.78669482576557
V,2022-06-02,2022-06-13,214.82000000000002,192.97,11,-240.46000000000026,-10.171306209850117
GOOGL,2022-07-07,2022-07-26,118.6,105.71000000000001,20,-257.9999999999997,-10.86846543001685
META,2022-07-19,2022-07-28,172.74,154.98,14,-248.78000000000026,-10.281347690170206
V,2022-07-12,2022-08-26,207.11,203.91,11,-35.31000000000019,-1.5450726666988657
AMZN,2022-07-19,2022-08-26,118.0,132.07999999999998,20,281.3999999999997,11.932203389830498
NVDA,2022-07-20,2022-08-26,17.349999999999998,16.7,143,-94.3799999999998,-3.7463976945244837
MSFT,2022-07-27,2022-08-26,269.08,272.36,8,26.160000000000238,1.2189683365541937
SPY,2022-07-27,2022-08-26,400.18,406.75,5,32.79999999999997,1.641761207456649
AAPL,2022-07-12,2022-08-30,147.57000000000002,159.60999999999999,16,192.47999999999942,8.158839872602798
TSLA,2022-07-28,2022-08-30,280.81,279.33000000000004,8,-11.91999999999969,-0.5270467575940851
TSLA,2022-09-19,2022-09-30,309.14,265.72,7,-304.0099999999997,-14.045416316232117
JPM,2022-10-18,2022-12-15,119.67,129.85,20,203.39999999999986,8.506726832121657
WMT,2022-10-20,2022-12-15,45.09,48.38999999999999,53,174.36999999999946,7.318695941450404
AAPL,2022-10-28,2022-12-15,152.51000000000002,139.98,15,-188.10000000000045,-8.215854698052604
SPY,2022-11-10,2022-12-15,390.40999999999997,390.12,6,-1.7999999999997818,-0.07428088419865198
NVDA,2022-11-04,2022-12-22,14.23,15.5,169,212.93999999999994,8.924806746310598
AVGO,2022-11-08,2023-02-22,48.150000000000006,57.54,50,468.99999999999966,19.501557632398736
V,2023-01-09,2023-02-23,220.0,219.42999999999998,11,-6.380000000000238,-0.2590909090909199
AMZN,2023-01-12,2023-02-24,96.95,93.51,26,-89.69999999999995,-3.548220732336249
JPM,2023-01-04,2023-03-08,137.11,137.41,18,5.219999999999693,0.2188024214134554
WMT,2023-03-27,2023-05-17,47.720000000000006,49.8,63,130.40999999999946,4.358759430008363
GOOGL,2023-03-16,2023-06-22,97.7,119.84,29,641.7700000000001,22.66120777891505
MSFT,2023-03-16,2023-08-02,270.75,326.98,10,562.2000000000002,20.768236380424753
NVDA,2023-01-17,2023-08-09,17.34,42.76,150,3811.4999999999995,146.59746251441751
AVGO,2023-05-17,2023-08-09,64.75999999999999,87.32000000000001,51,1150.0500000000009,34.83631871525637
META,2023-01-03,2023-08-17,124.69,288.28000000000003,20,3271.600000000001,131.19736947630125
AMZN,2023-03-22,2023-09-21,101.00999999999999,130.56,29,856.6600000000003,29.25452925452927
V,2023-08-28,2023-09-21,243.97,238.73,16,-84.00000000000014,-2.1478050579989416
SPY,2023-09-01,2023-09-21,453.19,434.98,9,-163.97999999999982,-4.018182219378186
MSFT,2023-09-05,2023-09-21,333.0,318.78000000000003,12,-170.75999999999965,-4.2702702702702595
GOOGL,2023-08-24,2023-09-26,133.96,128.94,30,-150.90000000000032,-3.7473872797850194
WMT,2023-08-31,2023-09-29,54.28,53.279999999999994,75,-75.75000000000054,-1.8422991893883744
NVDA,2023-10-10,2023-10-20,46.010000000000005,41.16,86,-417.9600000000007,-10.541186698543815
JPM,2023-10-13,2023-10-23,150.27,140.81,26,-246.2200000000002,-6.295335063552276
GOOGL,2023-10-10,2023-10-25,139.18,128.29,28,-305.2000000000004,-7.82440005747953
META,2023-10-06,2023-10-26,312.89,294.98,12,-215.03999999999962,-5.7240563776406965
WMT,2023-10-25,2023-11-16,54.510000000000005,52.65,71,-132.77000000000046,-3.412217941662088
AAPL,2023-11-07,2024-01-02,182.36,187.14999999999998,21,100.37999999999924,2.626672515902584
V,2023-11-02,2024-04-04,241.5,276.14000000000004,15,519.4500000000006,14.343685300207065
JPM,2023-11-16,2024-04-12,150.18,186.45999999999998,26,943.0199999999993,24.157677453722172
MSFT,2023-10-16,2024-04-17,333.84999999999997,413.41,11,875.0500000000006,23.831061854126133
AVGO,2023-10-12,2024-04-19,87.71,125.53,46,1739.2600000000002,43.11937065328926
AMZN,2023-11-01,2024-04-19,134.5,176.73,28,1182.1599999999996,31.397769516728612
WMT,2024-01-02,2024-04-23,52.800000000000004,58.86,80,483.9999999999996,11.477272727272725
